x,y,accuracy,total_confidence,osm_flag
39.2796017,-6.8224933,23.0,4620,1
39.1392216,-6.7911933,4.9,0,0
39.1462299,-6.7913066,14.0,0,0
39.1572449,-6.787305,3.9,56,0
39.19973,-6.7792666,6.1,22,0
39.2085383,-6.7877916,3.9,31,0
39.2292383,-6.7644933,4.1,87,0
39.231255,-6.76578,23.1,76,0
39.2381733,-6.7711599,5.4,40,0
39.2554233,-6.7784866,5.4,53,0
39.1792283,-6.6656783,20.0,0,0
39.1829649,-6.661365,20.0,111,0
39.183675,-6.6589333,20.0,78,0
39.2460801,-6.7764802,8.0,31,0
39.2754369,-6.7535098,27.0,0,0
39.2054531,-6.8635841,45.0,9500,0
39.2005349,-6.865785,5.9,0,0
39.2818037,-6.7971958,8.0,44,0
39.2311166,-6.8514833,6.3,0,0
39.192185,-6.8699816,5.1,0,0
39.2463805,-6.8439426,39.0,8500,0
39.275251,-6.8047859,37.5,0,1
39.1638716,-6.7853866,18.4,6,0
39.2809468,-6.7949663,5.0,0,0
39.2595283,-6.7780301,30.0,0,0
39.3335046,-6.9370803,40.5,0,0
39.2418895,-6.7741912,40.5,0,0
39.2613785,-6.7670668,30.0,10000,0
39.2548429,-6.7627932,15.0,32,0
39.2730974,-6.8233469,100.0,0,1
39.2705,-6.8267739,67.5,0,1
39.2785775,-6.7864812,57.0,0,0
39.2846859,-6.8025697,34.5,0,0
39.2767408,-6.8036558,34.5,0,0
39.2220484,-6.7726186,24.0,0,0
39.2202122,-6.7736117,60.0,0,0
39.2750949,-6.8183104,39.0,0,1
